,Date,Country,Day
541,2021-01-01,Morocco,New Year's Day
542,2021-01-11,Morocco,Proclamation of Independence
543,2021-05-01,Morocco,Labour Day
544,2021-07-30,Morocco,Enthronement
545,2021-08-14,Morocco,Zikra Oued Ed-Dahab
546,2021-08-20,Morocco,Revolution of the King and the People
547,2021-08-21,Morocco,Youth Day
548,2021-11-06,Morocco,Green March
549,2021-11-18,Morocco,Independence Day
550,2021-01-01,Monaco,New Year's Day
551,2021-01-27,Monaco,Saint Devota's Day
552,2021-04-05,Monaco,Easter Monday
553,2021-05-01,Monaco,May Day
554,2021-05-13,Monaco,Ascension Day
555,2021-05-24,Monaco,Whit Monday
556,2021-06-03,Monaco,Corpus Christi
557,2021-08-15,Monaco,Assumption Day
558,2021-11-01,Monaco,All Saints Day
559,2021-11-19,Monaco,National Day
560,2021-12-08,Monaco,The Immaculate Conception
561,2021-12-25,Monaco,​Christmas Day
562,2021-01-01,Montenegro,New Year's Day
563,2021-01-02,Montenegro,New Year's Day
564,2021-01-06,Montenegro,Orthodox Christmas Eve
565,2021-01-07,Montenegro,Orthodox Christmas Day
566,2021-01-08,Montenegro,Orthodox Christmas Day
567,2021-04-02,Montenegro,Good Friday
568,2021-04-04,Montenegro,Easter Sunday
569,2021-04-05,Montenegro,Easter Monday
570,2021-04-30,Montenegro,Good Friday
571,2021-05-01,Montenegro,Labour Day
572,2021-05-02,Montenegro,Labour Day
573,2021-05-03,Montenegro,Easter Monday
574,2021-05-21,Montenegro,Independence Day
575,2021-05-22,Montenegro,Independence Day
576,2021-07-13,Montenegro,Statehood Day
577,2021-07-14,Montenegro,Statehood Day
578,2021-11-01,Montenegro,Catholic All Saints' Day
579,2021-12-24,Montenegro,Catholic Christmas Eve
580,2021-12-25,Montenegro,Catholic Christmas Day
581,2021-12-26,Montenegro,Catholic St. Stephen's Day
582,2021-01-01,Montserrat,New Year's Day
583,2021-03-17,Montserrat,Saint Patrick's Day
584,2021-04-02,Montserrat,Good Friday
585,2021-04-05,Montserrat,Easter Monday
586,2021-05-03,Montserrat,Labour Day
587,2021-05-24,Montserrat,Whit Monday
588,2021-06-14,Montserrat,Queen's Birthday
589,2021-08-02,Montserrat,Emancipation Day
590,2021-12-25,Montserrat,Christmas Day
591,2021-12-26,Montserrat,St. Stephen's Day
592,2021-12-31,Montserrat,Festival Day
593,2021-01-01,Morocco,New Year's Day
594,2021-01-11,Morocco,Proclamation of Independence
595,2021-05-01,Morocco,Labour Day
596,2021-07-30,Morocco,Enthronement
597,2021-08-14,Morocco,Zikra Oued Ed-Dahab
598,2021-08-20,Morocco,Revolution of the King and the People
599,2021-08-21,Morocco,Youth Day
600,2021-11-06,Morocco,Green March
601,2021-11-18,Morocco,Independence Day
602,2021-01-01,Mozambique,New Year's Day
603,2021-02-03,Mozambique,Heroes's Day
604,2021-04-07,Mozambique,Women's Day
605,2021-05-01,Mozambique,worker's Day
606,2021-06-25,Mozambique,Independence Day
607,2021-09-07,Mozambique,Victory Day
608,2021-09-25,Mozambique,Revolution Day
609,2021-10-04,Mozambique,Day of Peace and Reconciliation
610,2021-12-25,Mozambique,Christmas Day
611,2021-01-01,Netherlands,New Year's Day
612,2021-04-02,Netherlands,Good Friday
613,2021-04-04,Netherlands,Easter Sunday
614,2021-04-05,Netherlands,Easter Monday
615,2021-04-27,Netherlands,King's Day
616,2021-05-05,Netherlands,Liberation Day
617,2021-05-13,Netherlands,Ascension Day
618,2021-05-23,Netherlands,Pentecost
